ensembl_id	name	chromosome	description	feature_type	strand	start	end
SPAC1006.07	SPAC1006.07	I	translation initiation factor eIF4A (predicted) 	protein_coding	1	5085486	5087031
SPAC1006.08	etd1	I	ethanol-dependent mutant protein Etd1 	protein_coding	1	5087986	5089638
SPAC1006.09	win1	I	MAP kinase kinase kinase Win1 	protein_coding	1	5089815	5094848
SPAC1039.01	SPAC1039.01	I	amino acid permease (predicted) 	protein_coding	1	5444360	5447537
SPAC1039.02	SPAC1039.02	I	phosphoprotein phosphatase (predicted) 	protein_coding	1	5448735	5451642
SPAC1039.03	SPAC1039.03	I	esterase/lipase (predicted) 	protein_coding	1	5452105	5453867
SPAC1039.04	SPAC1039.04	I	nicotinic acid plasma membrane transporter (predicted) 	protein_coding	1	5454583	5456656
SPAC1039.05c	klf1	I	transcription factor, zf-fungal binuclear cluster type Klf1 	protein_coding	-1	5456674	5459789
SPAC1039.06	SPAC1039.06	I	alanine racemase (predicted) 	protein_coding	1	5460198	5462354
SPAC1039.07c	SPAC1039.07c	I	aminotransferase class-III, possible transaminase, unknown specificity 	protein_coding	-1	5462118	5463989
SPAC1039.08	SPAC1039.08	I	serine acetyltransferase (predicted) 	protein_coding	1	5463863	5465172
SPAC1039.09	isp5	I	amino acid permease Isp5 	protein_coding	1	5465377	5468649
SPAC1039.10	mmf2	I	homologous Pmf1 factor 1, isoleucine biosynthesis protein (predicted) 	protein_coding	1	5470432	5471520
SPAC1039.11c	gto1	I	alpha-glucosidase (predicted) 	protein_coding	-1	5471270	5474941
SPAC105.01c	kha1	I	potassium ion/proton antiporter Kha1 (predicted) 	protein_coding	-1	1740313	1743699
SPAC105.02c	SPAC105.02c	I	ankyrin repeat protein, implicated in meiosis 	protein_coding	-1	1744019	1745658
SPAC105.03c	SPAC105.03c	I	transcription factor (predicted) 	protein_coding	-1	1746468	1749242
SPAC1071.01c	pta1	I	mRNA cleavage and polyadenylation specificity factor complex subunit Pta1 	protein_coding	-1	3855385	3857994
SPAC1071.02	mms19	I	Dos2 silencing complex subunit Mms19 	protein_coding	1	3858241	3861822
SPAC1071.03c	sil1	I	nucleotide exchange factor for the ER lumenal Hsp70 chaperone, Sil1 (predicted) 	protein_coding	-1	3860907	3862735
SPAC1071.04c	spc2	I	signal peptidase subunit Spc2 (predicted) 	protein_coding	-1	3863001	3863504
SPAC1071.05	SPAC1071.05	I	S-adenosylmethionine-dependent methyltransferase (predicted) 	protein_coding	1	3864467	3866158
SPAC1071.06	arp9	I	SWI/SNF and RSC complex subunit Arp9 	protein_coding	1	3866536	3868410
SPAC1071.07c	rps1502	I	40S ribosomal protein S15 (predicted) 	protein_coding	-1	3868310	3869076
SPAC1071.08	rpp203	I	60S acidic ribosomal protein A2 	protein_coding	1	3869082	3869610
SPAC1071.09c	SPAC1071.09c	I	DNAJ domain protein, DNAJC9 family (predicted) 	protein_coding	-1	3869017	3871602
SPAC1071.10c	pma1	I	P-type proton ATPase, P3-type Pma1 	protein_coding	-1	3871642	3876176
SPAC1071.11	SPAC1071.11	I	NADH-dependent flavin oxidoreductase (predicted) 	protein_coding	1	3882010	3884256
SPAC1071.12c	stp1	I	protein tyrosine phosphatase Stp1 	protein_coding	-1	3883445	3884346
SPAC1071.13	SPAC1071.13	I	dubious 	protein_coding	1	3878007	3881812
SPAC1093.01	ppr5	I	mitochondrial PPR repeat protein Ppr5 	protein_coding	1	4606299	4611737
SPAC1093.02	SPAC1093.02	I	pyridoxamine 5'-phosphate oxidase (predicted) 	protein_coding	1	4612099	4613297
SPAC1093.03	SPAC1093.03	I	inositol polyphosphate phosphatase (predicted) 	protein_coding	1	4613443	4617157
SPAC1093.04c	SPAC1093.04c	I	tRNA nucleotidyltransferase (predicted) 	protein_coding	-1	4613715	4618620
SPAC1093.05	SPAC1093.05	I	ATP-dependent RNA helicase Hca4 (predicted) 	protein_coding	1	4619603	4622351
SPAC1093.06c	dhc1	I	dynein heavy chain Dhc1 	protein_coding	-1	4622166	4635111
SPAC1093.07	SPAC1093.07	I	dubious 	protein_coding	-1	4604880	4606871
SPAC10F6.01c	sir1	I	sulfite reductase Sir1 	protein_coding	-1	1200916	1206090
SPAC10F6.02c	prp22	I	ATP-dependent RNA helicase Prp22 	protein_coding	-1	1206812	1210630
SPAC10F6.03c	cts1	I	CTP synthase Cts1 (predicted) 	protein_coding	-1	1211195	1213553
SPAC10F6.04	SPAC10F6.04	I	RCC domain protein Ats1 (predicted) 	protein_coding	1	1213255	1216120
SPAC10F6.05c	ubc6	I	ubiquitin conjugating enzyme Ubc6 (predicted) 	protein_coding	-1	1214788	1217067
SPAC10F6.06	vip1	I	RNA-binding protein Vip1 	protein_coding	1	1217077	1218228
SPAC10F6.07c	mug94	I	Schizosaccharomyces pombe specific protein Mug94 	protein_coding	-1	1218321	1218887
SPAC10F6.08c	nht10	I	Ino80 complex HMG box subunit Nhp10 (predicted) 	protein_coding	-1	1219667	1220847
SPAC10F6.09c	psm3	I	mitotic cohesin complex subunit Psm3 	protein_coding	-1	1220969	1224862
SPAC10F6.10	rio1	I	protein kinase, RIO family Rio1 (predicted) 	protein_coding	1	1225464	1227365
SPAC10F6.11c	atg17	I	autophagy associated protein kinase activator Atg17 	protein_coding	-1	1226090	1228894
SPAC10F6.12c	mam4	I	protein-S isoprenylcysteine O-methyltransferase Mam4 	protein_coding	-1	1229095	1230361
SPAC10F6.13c	SPAC10F6.13c	I	aspartate aminotransferase (predicted) 	protein_coding	-1	1230640	1232155
SPAC10F6.14c	SPAC10F6.14c	I	ABC1 kinase family protein (predicted) 	protein_coding	-1	1232262	1234076
SPAC10F6.15	SPAC10F6.15	I	UPF0300 family protein 1 	protein_coding	1	1235601	1237035
SPAC10F6.16	mug134	I	mRNA stability protein Igo1 (predicted) 	protein_coding	1	1238896	1240185
SPAC10F6.17c	SPAC10F6.17c	I	mitochondrial pyruvate dehydrogenase (lipoamide) phosphatase (predicted) 	protein_coding	-1	1239971	1241970
SPAC110.01	ppk1	I	serine/threonine protein kinase Ppk1 (predicted) 	protein_coding	1	1905755	1911747
SPAC110.02	pds5	I	mitotic cohesin-associated protein Pds5 	protein_coding	1	1911836	1915897
SPAC110.03	cdc42	I	Rho family GTPase Cdc42 	protein_coding	1	1916054	1917656
SPAC110.04c	pss1	I	heat shock protein Pss1 	protein_coding	-1	1917767	1920867
SPAC110.05	SPAC110.05	I	Schizosaccharomyces pombe specific protein 	protein_coding	-1	1904196	1906153
SPAC1142.01	rqc1	I	ribosome quality control complex (RQC) complex subunit Rqc1 (predicted) 	protein_coding	1	3625312	3627664
SPAC1142.02c	SPAC1142.02c	I	TPR repeat protein, SGT2 family (predicted) 	protein_coding	-1	3627675	3629022
SPAC1142.03c	swi2	I	Swi5 complex subunit Swi2 	protein_coding	-1	3629015	3631504
SPAC1142.04	SPAC1142.04	I	Noc complex subunit Noc2 family (predicted) 	protein_coding	1	3631499	3633874
SPAC1142.05	ctr5	I	copper transporter complex subunit Ctr5 	protein_coding	1	3635293	3636572
SPAC1142.06	get3	I	GET complex ATPase subunit Get3 (predicted) 	protein_coding	1	3636685	3638390
SPAC1142.07c	vps32	I	ESCRT III complex subunit Vps32 	protein_coding	-1	3638557	3639824
SPAC1142.08	fhl1	I	forkhead transcription factor Fhl1 	protein_coding	1	3639860	3642338
SPAC1142.09	SPAC1142.09	I	dubious 	protein_coding	1	3642498	3642845
SPAC11D3.01c	SPAC11D3.01c	I	conserved fungal protein 	protein_coding	-1	108732	109195
SPAC11D3.02c	SPAC11D3.02c	I	ELLA family acetyltransferase (predicted) 	protein_coding	-1	109829	110455
SPAC11D3.03c	SPAC11D3.03c	I	conserved protein 	protein_coding	-1	110904	112499
SPAC11D3.04c	SPAC11D3.04c	I	SnoaL 	protein_coding	-1	112514	114445
SPAC11D3.05	mfs2	I	MFS family membrane transporter Mfs2 (predicted) 	protein_coding	1	113950	115962
SPAC11D3.06	SPAC11D3.06	I	MatE family transporter (predicted) 	protein_coding	1	116331	118189
SPAC11D3.07c	toe4	I	transcription factor, zf-fungal binuclear cluster type(predicted) 	protein_coding	-1	116054	120309
SPAC11D3.08c	SPAC11D3.08c	I	amino acid permease, unknown 1 (predicted) 	protein_coding	-1	120321	123785
SPAC11D3.09	SPAC11D3.09	I	agmatinase (predicted) 	protein_coding	1	122187	124116
SPAC11D3.10	SPAC11D3.10	I	nifs homolog, possible cysteine desulfurase 	protein_coding	1	124907	129053
SPAC11D3.11c	SPAC11D3.11c	I	zinc finger protein, truncated 	protein_coding	-1	126951	129316
SPAC11D3.13	hsp3104	I	ThiJ domain protein 	protein_coding	1	130148	131268
SPAC11D3.14c	SPAC11D3.14c	I	5-oxoprolinase (ATP-hydrolizing) (predicted) 	protein_coding	-1	131190	135736
SPAC11D3.15	SPAC11D3.15	I	5-oxoprolinase (ATP-hydrolizing) (predicted) 	protein_coding	1	136139	140365
SPAC11D3.16c	SPAC11D3.16c	I	Schizosaccharomyces specific protein 	protein_coding	-1	140381	141653
SPAC11D3.17	SPAC11D3.17	I	transcription factor, zf-fungal binuclear cluster type 	protein_coding	1	141199	144768
SPAC11D3.18c	SPAC11D3.18c	I	nicotinic acid plasma membrane transporter (predicted) 	protein_coding	-1	144819	146935
SPAC11D3.19	SPAC11D3.19	I	Schizosaccharomyces pombe specific protein 	protein_coding	1	106893	108361
SPAC11E3.01c	swr1	I	SNF2 family helicase Swr1 	protein_coding	-1	5277395	5281420
SPAC11E3.02c	SPAC11E3.02c	I	C2 domain protein 	protein_coding	-1	5281778	5285905
SPAC11E3.03	csm1	I	chromosome segregation protein Csm1/Pcs1 	protein_coding	1	5286053	5287290
SPAC11E3.04c	ubc13	I	ubiquitin conjugating enzyme Ubc13 	protein_coding	-1	5287180	5288137
SPAC11E3.05	sea3	I	ubiquitin-protein ligase E3, coatamer related complex subunit Sea3 (predicted) 	protein_coding	1	5288245	5292558
SPAC11E3.06	map1	I	MADS-box transcription factor Map1 	protein_coding	1	5292648	5294751
SPAC11E3.07	vma4	I	V-type ATPase V1 subunit E (predicted) 	protein_coding	1	5294961	5296384
SPAC11E3.08c	nse6	I	Smc5-6 complex non-SMC subunit Nse6 	protein_coding	-1	5296049	5297794
SPAC11E3.09	pyp3	I	protein-tyrosine phosphatase Pyp3 	protein_coding	1	5298656	5300189
SPAC11E3.10	SPAC11E3.10	I	VanZ-like family protein 	protein_coding	1	5300670	5301956
SPAC11E3.11c	syt22	I	guanyl-nucleotide exchange factor Syt22 	protein_coding	-1	5302220	5305725
SPAC11E3.12	SPAC11E3.12	I	conserved eukaryotic protein, thioredoxin family 	protein_coding	1	5305696	5308686
SPAC11E3.13c	gas5	I	cell wall protein Gas5, 1,3-beta-glucanosyltransferase (predicted) 	protein_coding	-1	5306742	5309063
SPAC11E3.14	SPAC11E3.14	I	conserved eukaryotic protein 	protein_coding	1	5311344	5314362
SPAC11E3.15	rpl22	I	60S ribosomal protein L22 (predicted) 	protein_coding	1	5314778	5315429
SPAC11G7.01	SPAC11G7.01	I	serine-rich Schizosaccharomyces specific protein 	protein_coding	1	3959727	3962914
SPAC11G7.02	pub1	I	HECT-type ubiquitin-protein ligase E3 Pub1 	protein_coding	1	3963058	3966172
SPAC11G7.03	idh1	I	isocitrate dehydrogenase (NAD+) subunit 1 Idh1 	protein_coding	1	3966740	3968132
SPAC11G7.04	ubi1	I	ribosomal-ubiquitin fusion protein Ubi1 (predicted) 	protein_coding	1	3968932	3969558
SPAC11G7.05c	SPAC11G7.05c	I	mitochondrial [acyl-carrier protein] S-malonyltransferase Mct1 (predicted) 	protein_coding	-1	3969366	3971294
SPAC11G7.06c	mug132	I	S. pombe specific UPF0300 family protein 3 	protein_coding	-1	3971564	3974699
SPAC11H11.01	sst6	I	ESCRT I complex subunit Vps23 	protein_coding	1	4775688	4777440
SPAC11H11.02c	mug162	I	Schizosaccharomyces specific protein Mug162 	protein_coding	-1	4775517	4778622
SPAC11H11.03c	SPAC11H11.03c	I	ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity implicated in DNA repair (predicted) 	protein_coding	-1	4779020	4780284
SPAC11H11.04	mam2	I	pheromone p-factor receptor 	protein_coding	1	4780224	4781922
SPAC11H11.05c	fta6	I	Sim4 and Mal2 associated (4 and 2 associated) protein 6 	protein_coding	-1	4782047	4782273
SPAC11H11.06	arp2	I	ARP2/3 actin-organizing complex subunit Arp2 	protein_coding	1	4783007	4784765
SPAC1250.01	snf21	I	ATP-dependent DNA helicase Snf21 	protein_coding	-1	5100148	5104194
SPAC1250.02	mug95	I	Schizosaccharomyces specific protein Mug95 	protein_coding	-1	5099293	5100214
SPAC1250.03	ubc14	I	ubiquitin conjugating enzyme Ubc14 (predicted) 	protein_coding	-1	5097690	5098816
SPAC1250.04c	atl1	I	alkyltransferase-like protein Atl1 	protein_coding	1	5096773	5097662
SPAC1250.05	rpl3002	I	60S ribosomal protein L30 (predicted) 	protein_coding	-1	5095073	5095925
SPAC1250.07	sfc7	I	TFIIIC subunit Sfc7 (predicted) 	protein_coding	-1	5097850	5098212
SPAC1296.01c	SPAC1296.01c	I	phosphoacetylglucosamine mutase (predicted) 	protein_coding	-1	707948	710479
SPAC1296.02	cox4	I	cytochrome c oxidase subunit IV (predicted) 	protein_coding	1	711238	712354
SPAC1296.03c	sxa2	I	serine carboxypeptidase Sxa2 	protein_coding	-1	712217	714070
SPAC1296.04	mug65	I	spore wall assembly protein (predicted) 	protein_coding	1	715377	716978
SPAC1296.05c	lcp1	I	cyclin L family cyclin 	protein_coding	-1	716874	718168
SPAC1296.06	tah18	I	NADPH-dependent diflavin oxidoreductase, involved in iron-sulfur cluster assembly Tah18 (predicted) 	protein_coding	1	719380	721549
SPAC12B10.01c	SPAC12B10.01c	I	HECT-type ubiquitin-protein ligase E3 (predicted) 	protein_coding	-1	4570305	4575656
SPAC12B10.02c	SPAC12B10.02c	I	endoplasmic reticulum resident protein required for packaging into COPII vesicles (predicted) 	protein_coding	-1	4576187	4577002
SPAC12B10.03	bun62	I	WD repeat protein, human WDR20 family, Bun62 	protein_coding	1	4578164	4580722
SPAC12B10.04	pby1	I	tubulin-tyrosine ligase Pby1 (predicted) 	protein_coding	1	4580656	4582281
SPAC12B10.05	icp55	I	mitochondrial intermediate cleavage peptidase Icp55 (predicted) 	protein_coding	1	4582299	4584511
SPAC12B10.06c	emi5	I	succinate dehydrogenase complex assembly protein Emi5 (predicted) 	protein_coding	-1	4584473	4585226
SPAC12B10.07	acp1	I	F-actin capping protein alpha subunit 	protein_coding	1	4584465	4586536
SPAC12B10.08c	SPAC12B10.08c	I	mitochondrial tRNA(Ile)-lysidine synthetase family (predicted) 	protein_coding	-1	4586309	4588764
SPAC12B10.09	pet801	I	mitochondrial S-adenosylmethionine transporter (predicted) 	protein_coding	1	4588250	4589793
SPAC12B10.10	nod1	I	medial cortical node Gef2-related protein protein Nod1 	protein_coding	1	4590152	4591524
SPAC12B10.11	exg2	I	glucan glucosidase Exg2, unknown specificity 	protein_coding	1	4591855	4593567
SPAC12B10.12c	rhp41	I	DNA repair protein Rhp41 	protein_coding	-1	4593600	4596120
SPAC12B10.13	SPAC12B10.13	I	proteasome-dependent catabolite inactivation protein, ubiquitin ligase complex subunit (predicted) 	protein_coding	1	4596234	4597380
SPAC12B10.14c	tea5	I	pseudokinase Tea5 	protein_coding	-1	4597466	4599622
SPAC12B10.15c	SPAC12B10.15c	I	ribonuclease H2 complex subunit (predicted) 	protein_coding	-1	4600263	4600817
SPAC12B10.16c	mug157	I	conserved protein Mug157 	protein_coding	-1	4601278	4603478
SPAC12G12.01c	SPAC12G12.01c	I	SEA complex subunit, ubiquitin-protein ligase E3 	protein_coding	1	346795	350151
SPAC12G12.02	efg1	I	rRNA processing protein Efg1 (predicted) 	protein_coding	-1	345234	347735
SPAC12G12.03	cip2	I	RNA-binding protein Cip2 	protein_coding	-1	342090	345182
SPAC12G12.04	mcp60	I	mitochondrial heat shock protein Hsp60/Mcp60 	protein_coding	-1	339766	342080
SPAC12G12.05c	taf9	I	SAGA complex/ transcription initiation factor Taf9 	protein_coding	1	338286	339763
SPAC12G12.06c	SPAC12G12.06c	I	rRNA processing protein (predicted) 	protein_coding	1	336308	338157
SPAC12G12.07c	SPAC12G12.07c	I	conserved fungal protein 	protein_coding	1	334615	336131
SPAC12G12.08	mrpl6	I	mitochondrial ribosomal protein subunit L16 (predicted) 	protein_coding	-1	333178	334621
SPAC12G12.09	SPAC12G12.09	I	conserved fungal protein 	protein_coding	-1	329810	332816
SPAC12G12.10	wdr21	I	WD repeat protein, human WDR21 family 	protein_coding	-1	328196	329545
SPAC12G12.11c	SPAC12G12.11c	I	DUF544 family protein 	protein_coding	1	326440	328122
SPAC12G12.12	SPAC12G12.12	I	NST UDP-galactose transporter (predicted) 	protein_coding	-1	324042	325517
SPAC12G12.13c	cid14	I	poly(A) polymerase Cid14 	protein_coding	1	321764	324129
SPAC12G12.14c	pfs2	I	WD repeat protein Pfs2 	protein_coding	1	319815	321825
SPAC12G12.15	sif3	I	Sad1 interacting factor Sif3 (predicted) 	protein_coding	-1	316996	319185
SPAC12G12.16c	SPAC12G12.16c	I	Fen1 family nuclease, XP-G family (predicted) 	protein_coding	1	315394	317585
SPAC12G12.17	SPAC12G12.17	I	non-classical export protein 1 (predicted) 	protein_coding	1	332838	333578
SPAC1327.01c	SPAC1327.01c	I	transcription factor, zf-fungal binuclear cluster type (predicted) 	protein_coding	-1	2204823	2208418
SPAC139.01c	SPAC139.01c	I	nuclease, XP-G family (predicted) 	protein_coding	-1	1016103	1019031
SPAC139.02c	oac1	I	mitochondrial anion transporter (predicted) 	protein_coding	-1	1019248	1020838
SPAC139.03	toe2	I	transcription factor, zf-fungal binuclear cluster type (predicted) 	protein_coding	1	1021695	1024135
SPAC139.04c	fap2	I	L-saccharopine oxidase 	protein_coding	-1	1024002	1025903
SPAC139.05	SPAC139.05	I	succinate-semialdehyde dehydrogenase (predicted) 	protein_coding	1	1027811	1029993
SPAC139.06	hat1	I	histone acetyltransferase Hat1 	protein_coding	1	1030125	1031941
SPAC1399.01c	SPAC1399.01c	I	membrane transporter (predicted) 	protein_coding	1	1851495	1854651
SPAC1399.02	SPAC1399.02	I	membrane transporter (predicted) 	protein_coding	-1	1845648	1848341
SPAC1399.03	fur4	I	uracil permease 	protein_coding	-1	1841908	1843995
SPAC1399.04c	SPAC1399.04c	I	uracil phosphoribosyltransferase (predicted) 	protein_coding	1	1840621	1841283
SPAC1399.05c	toe1	I	transcription factor, zf-fungal binuclear cluster type 	protein_coding	1	1838515	1840293
SPAC1399.06	SPAC1399.06	I	Schizosaccharomyces pombe specific protein 	protein_coding	-1	1848338	1850881
SPAC13A11.01c	rga8	I	Rho-type GTPase activating protein Rga8 	protein_coding	-1	570753	574417
SPAC13A11.02c	erg11	I	sterol 14-demethylase Erg11 (predicted) 	protein_coding	-1	574652	577171
SPAC13A11.03	mcp7	I	meiosis specific coiled-coil protein Mcp7 	protein_coding	1	578392	579948
SPAC13A11.04c	ubp8	I	SAGA complex ubiquitin C-terminal hydrolase Ubp8 	protein_coding	-1	579353	581553
SPAC13A11.05	ysp2	I	peptidase family M17 cytoplasmic leucyl aminopeptidase yspII (LAP yspII) 	protein_coding	1	582273	584402
SPAC13A11.06	SPAC13A11.06	I	pyruvate decarboxylase (predicted) 	protein_coding	1	585355	587495
SPAC13C5.01c	pre9	I	20S proteasome complex subunit alpha 3 Pre9 (predicted) 	protein_coding	-1	423926	425256
SPAC13C5.02	dre4	I	splicing associated factor Dre4 	protein_coding	1	425631	427415
SPAC13C5.03	tht1	I	nuclear membrane protein involved in karyogamy Tht1 	protein_coding	1	427350	430121
SPAC13C5.04	SPAC13C5.04	I	amidotransferase (predicted) 	protein_coding	1	430056	431032
SPAC13C5.05c	SPAC13C5.05c	I	N-acetylglucosamine-phosphate mutase (predicted) 	protein_coding	-1	431367	433274
SPAC13C5.06c	mug121	I	Schizosaccharomyces pombe specific protein Mug121 	protein_coding	-1	434102	435179
SPAC13C5.07	mre11	I	Mre11 nuclease 	protein_coding	1	435170	439980
SPAC13D1.01c	Tf2-7	I	retrotransposable element/transposon Tf2-type 	protein_coding	-1	5191060	5195702
SPAC13D6.01	pof14	I	F-box protein Pof14 	protein_coding	1	2245497	2247128
SPAC13D6.02c	byr3	I	translational activator, zf-CCHC type zinc finger protein (predicted) 	protein_coding	-1	2247229	2248535
SPAC13D6.03c	trm9	I	tRNA (uridine) methyltransferase Trm9 (predicted) 	protein_coding	-1	2249892	2251382
SPAC13D6.04c	btb3	I	substrate adaptor for cullin 3 ubiquitin ligase Btb3 	protein_coding	-1	2251442	2253385
SPAC13D6.05	alp11	I	tubulin specific chaperone cofactor B 	protein_coding	1	2253359	2254440
SPAC13F5.01c	msh1	I	mitochondrial MutS protein Msh1 (predicted) 	protein_coding	-1	2169036	2172310
SPAC13F5.02c	ptr6	I	transcription factor TFIID complex subunit Taf7 	protein_coding	-1	2172410	2173796
SPAC13F5.03c	gld1	I	mitochondrial glycerol dehydrogenase Gld1 	protein_coding	-1	2174641	2177050
SPAC13F5.04c	vta1	I	Vps20 associated protein Vta1 (predicted) 	protein_coding	-1	2176988	2179661
SPAC13F5.05	SPAC13F5.05	I	thioredoxin family protein (predicted) 	protein_coding	1	2179175	2181507
SPAC13F5.06c	sec10	I	exocyst complex subunit Sec10 	protein_coding	-1	2181450	2184521
SPAC13F5.07c	SPAC13F5.07c	I	zf PARP type zinc finger protein 	protein_coding	-1	2184654	2185990
SPAC13G6.01c	rad8	I	ubiquitin-protein ligase E3 Rad8 	protein_coding	-1	170489	174701
SPAC13G6.02c	rps101	I	40S ribosomal protein S3a 	protein_coding	-1	174865	176655
SPAC13G6.03	gpi7	I	GPI anchor biosynthesis protein Gpi7 (predicted) 	protein_coding	1	175890	180028
SPAC13G6.04	tim8	I	TIM22 inner membrane protein import complex subunit Tim8 (predicted) 	protein_coding	1	180272	181069
SPAC13G6.05c	trs33	I	TRAPP complex subunit Trs33 (predicted) 	protein_coding	-1	180903	182254
SPAC13G6.06c	gcv2	I	glycine cleavage complex subunit P (predicted) 	protein_coding	-1	182337	186358
SPAC13G6.07c	rps601	I	40S ribosomal protein S6 	protein_coding	-1	186314	187683
SPAC13G6.08	SPAC13G6.08	I	Cdc20/Fizzy subfamily WD repeat protein 	protein_coding	1	187701	190031
SPAC13G6.09	SPAC13G6.09	I	SSU-rRNA maturation protein Tsr4 homolog 2 (predicted) 	protein_coding	1	190192	191947
SPAC13G6.10c	asl1	I	cell wall protein Asl1, predicted O-glucosyl hydrolase 	protein_coding	-1	191928	194053
SPAC13G6.11c	erg12	I	mevalonate kinase Erg12 (predicted) 	protein_coding	-1	194099	195626
SPAC13G6.12c	chs1	I	chitin synthase I 	protein_coding	-1	195940	199051
SPAC13G6.13	SPAC13G6.13	I	Schizosaccharomyces pombe specific protein 	protein_coding	1	198884	199231
SPAC13G6.14	aps1	I	diadenosine 5',5'''-p1,p6-hexaphosphate hydrolase Aps1 	protein_coding	1	200121	201517
SPAC13G6.15c	SPAC13G6.15c	I	calcipressin (predicted) 	protein_coding	-1	201729	203346
SPAC13G7.01c	erg7	I	lanosterol synthase Erg7 	protein_coding	-1	2292636	2295220
SPAC13G7.02c	ssa1	I	heat shock protein Ssa1 (predicted) 	protein_coding	-1	2295580	2297981
SPAC13G7.03	upf3	I	up-frameshift suppressor 3 family protein (predicted) 	protein_coding	1	2298875	2300068
SPAC13G7.04c	mac1	I	membrane anchored protein Mac1 	protein_coding	-1	2300228	2303411
SPAC13G7.05	are1	I	acyl-coA-sterol acyltransferase Are1 (predicted) 	protein_coding	1	2305136	2307359
SPAC13G7.06	met16	I	phosphoadenosine phosphosulfate reductase 	protein_coding	1	2307438	2308878
SPAC13G7.07	arb2	I	argonaute binding protein 2 	protein_coding	1	2308863	2310294
SPAC13G7.08c	crb3	I	WD repeat protein Crb3 	protein_coding	-1	2310271	2311973
SPAC13G7.09c	SPAC13G7.09c	I	conserved fungal protein 	protein_coding	-1	2312284	2313164
SPAC13G7.10	teb1	I	Myb family telomere binding protein (predicted) 	protein_coding	1	2313645	2315160
SPAC13G7.11	SPAC13G7.11	I	mitochondrial respiratory complex assembly protein (predicted) 	protein_coding	1	2315095	2316369
SPAC13G7.12c	SPAC13G7.12c	I	choline kinase (predicted) 	protein_coding	-1	2315455	2318318
SPAC13G7.13c	msa1	I	RNA-binding protein Msa1 	protein_coding	-1	2318492	2322664
SPAC140.01	sdh2	I	succinate dehydrogenase (ubiquinone) iron-sulfur protein subunit (predicted) 	protein_coding	1	1895436	1896752
SPAC140.02	gar2	I	nucleolar protein required for rRNA processing 	protein_coding	1	1897448	1899491
SPAC140.03	arb1	I	argonaute inhibitor protein 1 	protein_coding	1	1899904	1901605
SPAC140.04	ctr1	I	conserved eukaryotic protein, human CCDC174 ortholog 	protein_coding	1	1902075	1903841
